Substance,Unit,Supply Chain Emission Factors without Margins,Margins of Supply Chain Emission Factors,Supply Chain Emission Factors with Margins,DQ ReliabilityScore of Factors without Margins,DQ TemporalCorrelation of Factors without Margins,DQ GeographicalCorrelation of Factors without Margins,DQ TechnologicalCorrelation of Factors without Margins,DQ DataCollection of Factors without Margins,Source
0,0,0.398,0.073,0.47,4,3,1,4,1,0
1,0,0.001,0.001,0.002,4,3,1,1,1,0
2,0,0.002,0.0,0.002,4,3,1,4,1,0
3,1,0.002,0.0,0.002,3,3,1,3,1,0
0,0,0.659,0.081,0.74,4,3,1,4,1,0
1,0,0.008,0.001,0.009,2,3,1,1,1,0
2,0,0.004,0.0,0.004,4,3,1,4,1,0
3,1,0.004,0.0,0.004,3,3,1,3,1,0
0,0,0.183,0.132,0.315,3,3,1,4,1,0
1,0,0.001,0.001,0.002,4,3,1,1,1,0
2,0,0.001,0.0,0.001,4,3,1,4,1,0
3,1,0.003,0.0,0.003,3,3,1,3,1,0
0,0,0.175,0.121,0.296,3,3,1,4,1,0
1,0,0.001,0.001,0.002,4,3,1,1,1,0
2,0,0.001,0.0,0.001,4,3,1,4,1,0
3,1,0.002,0.0,0.002,3,3,1,3,1,0
0,0,0.268,0.096,0.364,4,3,1,4,1,0
1,0,0.001,0.001,0.001,4,3,1,1,1,0
2,0,0.0,0.0,0.0,4,3,1,4,1,0
3,1,0.002,0.0,0.002,3,3,1,3,1,0
0,0,0.28,0.075,0.354,3,3,1,4,1,0
1,0,0.001,0.001,0.002,4,3,1,1,1,0
2,0,0.002,0.0,0.002,4,3,1,4,1,0
3,1,0.003,0.0,0.003,3,3,1,3,1,0
0,0,0.482,0.057,0.539,3,3,1,4,1,0
1,0,0.07,0.001,0.071,3,3,1,1,1,0
2,0,0.001,0.0,0.001,4,3,1,3,1,0
3,1,0.004,0.0,0.004,3,3,1,3,1,0
0,0,0.547,0.057,0.604,4,3,1,4,1,0
1,0,0.086,0.001,0.087,4,3,1,1,1,0
2,0,0.004,0.0,0.004,4,3,1,4,1,0
3,1,0.003,0.0,0.003,3,3,1,4,1,0
0,0,0.734,0.064,0.797,4,3,1,4,1,0
1,0,0.008,0.001,0.009,3,3,1,1,1,0
2,0,0.001,0.0,0.001,4,3,1,3,1,0
3,1,0.004,0.0,0.004,3,3,1,4,1,0
0,0,0.195,0.072,0.268,4,3,1,4,1,0
